Cache_ratio    NFS                 Web12    Zipf  Random 
      1.00   4096.0                4887.0  4917.0  2961.0 
      2.00   4720.0                5712.0  5312.0  2764.0 
      3.00   5058.0                5806.0  5384.0  2850.0 
      4.00   5275.0                5293.0  5515.0  3252.0 
      5.00   5612.0                5553.0  5414.0  3082.0 
      6.00   6018.0                5514.0  5757.0  3236.0 
      7.00   4558.0                5306.0  5668.0  2979.0 
      8.00   4700.0                6109.0  4777.0  3339.0 
      9.00   4990.0                6546.0  6344.0  3374.0 
     10.00   4649.0                6318.0  5524.0  3418.0 
     11.00   4513.0                5628.0  5455.0  3401.0 
     12.00   4533.0                6329.0  5243.0  3348.0 
     13.00   6130.0                5948.0  5009.0  3865.0 
     14.00   5886.0                5252.0  5534.0  3883.0 
     15.00   5857.0                5757.0  4871.0  4205.0 
     16.00   5506.0                5818.0  5345.0  3727.0 
     17.00   5673.0                5763.0  3798.0  4641.0 
     18.00   5634.0                5851.0  3543.0  4723.0 
     19.00   5454.0                6309.0  3722.0  4126.0 
     20.00   5623.0                6763.0  3731.0  3825.0 
