 Cache_ratio     NFS                  Web12     Zipf   Random 
       1.00   19.654                 41.022   27.749    0.985  
       2.00   33.143                 50.378   32.943    2.007  
       3.00   45.635                 55.942   36.413    3.034  
       4.00   55.511                 59.560   38.925    3.873  
       5.00   66.330                 62.634   40.856    4.919  
       6.00   70.943                 65.259   42.942    6.028  
       7.00   78.213                 66.941   44.492    6.958  
       8.00   79.486                 68.216   46.011    7.869  
       9.00   84.876                 69.446   47.289    8.781  
      10.00   84.131                 70.938   48.414    9.735  
      11.00   88.386                 72.014   49.611   10.521  
      12.00   87.174                 72.529   50.622   11.572  
      13.00   90.328                 72.567   51.514   12.483  
      14.00   88.855                 73.997   52.645   13.403  
      15.00   91.121                 74.922   53.917   14.287  
      16.00   89.949                 75.571   53.768   15.512  
      17.00   91.253                 75.688   54.953   16.105  
      18.00   90.572                 75.085   55.549   17.060  
      19.00   90.782                 76.925   56.391   18.200  
      20.00   91.125                 77.323   57.119   18.965  
