Cache_ratio    NFS                 Web12    Zipf  Random 
      1.00   3828.0                4168.0  4203.0  2653.0 
      2.00   4174.0                4510.0  4663.0  3081.0 
      3.00   4706.0                4736.0  4571.0  2886.0 
      4.00   4618.0                4418.0  5125.0  2779.0 
      5.00   4380.0                4772.0  4463.0  2903.0 
      6.00   4349.0                5106.0  5233.0  3194.0 
      7.00   3884.0                4531.0  4413.0  2918.0 
      8.00   3605.0                5558.0  4082.0  3187.0 
      9.00   3632.0                5203.0  4420.0  3393.0 
     10.00   3552.0                4089.0  4851.0  3494.0 
     11.00   3965.0                4509.0  4672.0  3437.0 
     12.00   3486.0                4416.0  4482.0  3365.0 
     13.00   4608.0                4545.0  4554.0  3691.0 
     14.00   4783.0                3980.0  4118.0  3892.0 
     15.00   4392.0                4936.0  4515.0  4039.0 
     16.00   4541.0                4426.0  4322.0  4107.0 
     17.00   4468.0                4566.0  3210.0  4492.0 
     18.00   4096.0                4802.0  3347.0  3860.0 
     19.00   4217.0                4935.0  3170.0  4134.0 
     20.00   4450.0                4914.0  3398.0  3727.0 
