Cache_ratio     NFS                  Web12     Zipf   Random 
      1.00   16.298                 40.523   18.891    1.072  
      2.00   29.801                 48.706   24.794    1.953  
      3.00   44.071                 53.065   28.839    2.946  
      4.00   54.812                 57.759   32.189    4.064  
      5.00   66.163                 61.061   34.525    4.941  
      6.00   72.466                 63.219   36.878    5.845  
      7.00   77.725                 64.961   38.937    6.894  
      8.00   81.556                 64.915   40.771    7.900  
      9.00   83.732                 67.998   42.964    8.808  
     10.00   86.866                 69.361   44.337    9.802  
     11.00   87.070                 70.301   45.584   10.728  
     12.00   90.052                 70.980   47.012   11.712  
     13.00   88.717                 70.702   48.305   12.322  
     14.00   91.267                 72.763   49.496   13.530  
     15.00   89.875                 73.469   50.262   14.542  
     16.00   92.100                 74.166   51.626   15.444  
     17.00   90.557                 74.480   52.429   16.142  
     18.00   92.700                 74.578   53.558   17.114  
     19.00   91.153                 75.674   54.169   18.099  
     20.00   92.956                 76.201   55.135   19.145  
