Cache_ratio     NFS                 Web12    Zipf  Random 
      1.00   1990.0                1630.0  1755.0  1460.0 
      2.00   2274.0                1575.0  1985.0  1616.0 
      3.00   2247.0                1720.0  1704.0  1967.0 
      4.00   2195.0                2159.0  1757.0  1599.0 
      5.00   1662.0                2204.0  1816.0  1884.0 
      6.00   1797.0                1898.0  2101.0  1748.0 
      7.00   2138.0                2328.0  2337.0  1812.0 
      8.00   1908.0                1791.0  2218.0  1693.0 
      9.00   1710.0                1721.0  1816.0  1995.0 
     10.00   2046.0                1930.0  2063.0  1993.0 
     11.00   1765.0                2085.0  1744.0  1778.0 
     12.00   1690.0                2718.0  1781.0  1857.0 
     13.00   1627.0                1964.0  2097.0  2037.0 
     14.00   1761.0                1818.0  1994.0  2317.0 
     15.00   1731.0                1628.0  1891.0  1936.0 
     16.00   1648.0                1698.0  1917.0  2050.0 
     17.00   1754.0                2527.0  2008.0  1851.0 
     18.00   1888.0                2089.0  1851.0  1791.0 
     19.00   1903.0                1898.0  1971.0  1941.0 
     20.00   1728.0                1805.0  1839.0  2048.0 
