Cache_ratio     NFS                  Web12     Zipf   Random 
      1.00   17.323                 37.665   15.372    0.982  
      2.00   30.170                 44.949   20.815    1.978  
      3.00   43.154                 50.060   24.661    3.017  
      4.00   54.193                 53.838   27.656    3.961  
      5.00   61.723                 56.228   30.155    4.858  
      6.00   68.626                 58.022   32.857    5.968  
      7.00   72.654                 60.252   34.294    6.749  
      8.00   77.681                 62.200   36.288    7.959  
      9.00   78.471                 63.552   37.962    8.857  
     10.00   83.067                 64.477   39.595    9.686  
     11.00   82.580                 64.236   40.915   10.687  
     12.00   86.852                 66.539   42.053   11.586  
     13.00   85.199                 67.662   43.468   12.438  
     14.00   88.346                 68.301   44.341   13.520  
     15.00   86.709                 68.975   45.718   14.388  
     16.00   89.654                 68.208   46.775   15.311  
     17.00   88.063                 70.419   47.826   16.233  
     18.00   90.385                 71.191   49.029   17.298  
     19.00   89.075                 71.732   49.826   18.071  
     20.00   90.425                 72.015   50.694   18.914  
