Cache_ratio    NFS                 Web12    Zipf  Random 
      1.00   3137.0                2458.0  2669.0  1566.0 
      2.00   2535.0                2823.0  2916.0  1572.0 
      3.00   2492.0                2774.0  3344.0  1608.0 
      4.00   3168.0                3212.0  3177.0  1711.0 
      5.00   3273.0                2867.0  2820.0  1890.0 
      6.00   2958.0                2819.0  3620.0  1676.0 
      7.00   3371.0                2865.0  2726.0  1522.0 
      8.00   2534.0                3213.0  3222.0  1764.0 
      9.00   2816.0                2668.0  2901.0  2235.0 
     10.00   2484.0                2850.0  2771.0  2442.0 
     11.00   2598.0                3551.0  2958.0  2051.0 
     12.00   2687.0                3129.0  2855.0  2422.0 
     13.00   2618.0                3071.0  3260.0  2001.0 
     14.00   2667.0                3637.0  2830.0  2314.0 
     15.00   3253.0                2638.0  2773.0  2413.0 
     16.00   3699.0                3042.0  2912.0  2453.0 
     17.00   3189.0                3352.0  2914.0  2784.0 
     18.00   3043.0                3219.0  2020.0  2514.0 
     19.00   3173.0                4447.0  2098.0  2902.0 
     20.00   3592.0                3095.0  1981.0  2552.0 
