Cache_ratio      NFS                   Web12      Zipf    Random 
      1.00    17.040                  39.243    17.642     1.019  
      2.00    28.090                  47.961    23.529     1.931  
      3.00    42.943                  53.321    27.662     2.986  
      4.00    52.567                  57.488    30.995     3.893  
      5.00    66.321                  59.998    33.589     4.920  
      6.00    70.818                  62.088    36.205     5.841  
      7.00    78.803                  64.313    37.960     6.884  
      8.00    80.132                  65.930    39.673     7.780  
      9.00    85.652                  67.496    41.683     8.910  
     10.00    85.187                  68.541    43.136     9.819  
     11.00    88.974                  69.295    44.623    10.652  
     12.00    88.203                  70.501    45.880    11.732  
     13.00    90.188                  71.478    46.988    12.506  
     14.00    89.844                  72.166    48.504    13.518  
     15.00    90.365                  72.739    49.383    14.237  
     16.00    91.024                  73.400    50.628    15.207  
     17.00    90.874                  74.190    51.632    15.958  
     18.00    92.233                  74.690    52.551    17.127  
     19.00    91.258                  75.038    53.451    18.082  
     20.00    93.072                  75.510    54.189    18.804  
