Cache_ratio    NFS                 Web12    Zipf  Random 
      1.00   2526.0                3101.0  3173.0  2004.0 
      2.00   2955.0                2910.0  3606.0  1857.0 
      3.00   3123.0                3448.0  3493.0  2071.0 
      4.00   3357.0                2938.0  3138.0  2040.0 
      5.00   3504.0                3255.0  3901.0  2040.0 
      6.00   3414.0                3351.0  3615.0  1991.0 
      7.00   3348.0                3424.0  3233.0  1970.0 
      8.00   2666.0                2909.0  3318.0  2447.0 
      9.00   2727.0                3348.0  3133.0  2478.0 
     10.00   2818.0                3030.0  3419.0  2651.0 
     11.00   2609.0                3931.0  4149.0  2567.0 
     12.00   2742.0                3467.0  4150.0  2639.0 
     13.00   3245.0                3334.0  2959.0  2826.0 
     14.00   3329.0                3205.0  2934.0  3002.0 
     15.00   3720.0                3026.0  3016.0  2785.0 
     16.00   2944.0                3195.0  3065.0  2955.0 
     17.00   3225.0                3253.0  2235.0  3089.0 
     18.00   3541.0                3040.0  2227.0  2955.0 
     19.00   3594.0                3604.0  2235.0  3128.0 
     20.00   3118.0                3556.0  2310.0  2818.0 
