Cache_ratio     NFS                  Web12     Zipf   Random 
      1.00   17.197                 35.089   23.518    0.951  
      2.00   31.407                 47.636   27.816    1.966  
      3.00   41.235                 52.630   31.459    3.001  
      4.00   54.432                 58.750   34.122    3.935  
      5.00   59.221                 62.089   36.403    4.973  
      6.00   66.755                 64.708   38.636    5.839  
      7.00   68.355                 66.326   40.455    6.913  
      8.00   76.730                 67.418   42.022    7.836  
      9.00   77.385                 69.396   43.587    8.867  
     10.00   81.086                 70.664   45.138    9.893  
     11.00   81.163                 71.908   46.676   10.737  
     12.00   83.685                 72.723   47.732   11.422  
     13.00   84.524                 72.889   48.723   12.615  
     14.00   84.799                 73.961   49.926   13.535  
     15.00   87.640                 74.600   50.996   14.445  
     16.00   86.315                 75.313   51.910   15.423  
     17.00   89.324                 75.786   52.656   16.161  
     18.00   87.248                 76.036   53.488   16.909  
     19.00   90.451                 76.682   54.590   18.023  
     20.00   88.101                 77.138   55.092   18.890  
