Cache_ratio     ARC  CLOCK  Guava Random   NLRU    FIFO    LIRS
       1.00  19.654 16.298 17.040 15.812 15.814  17.323  17.197
       2.00  33.143 29.801 28.090 25.500 30.020  30.170  31.407
       3.00  45.635 44.071 42.943 38.586 40.424  43.154  41.235
       4.00  55.511 54.812 52.567 45.274 55.718  54.193  54.432
       5.00  66.330 66.163 66.321 53.887 64.942  61.723  59.221
       6.00  70.943 72.466 70.818 56.969 74.346  68.626  66.755
       7.00  78.213 77.725 78.803 66.356 77.313  72.654  68.355
       8.00  79.486 81.556 80.132 66.979 82.558  77.681  76.730
       9.00  84.876 83.732 85.652 74.169 83.744  78.471  77.385
      10.00  84.131 86.866 85.187 71.650 86.032  83.067  81.086
      11.00  88.386 87.070 88.974 76.954 87.672  82.580  81.163
      12.00  87.174 90.052 88.203 75.397 88.405  86.852  83.685
      13.00  90.328 88.717 90.188 79.850 90.432  85.199  84.524
      14.00  88.855 91.267 89.844 80.305 89.707  88.346  84.799
      15.00  91.121 89.875 90.365 80.488 91.922  86.709  87.640
      16.00  89.949 92.100 91.024 80.960 90.403  89.654  86.315
      17.00  91.253 90.557 90.874 82.015 92.646  88.063  89.324
      18.00  90.572 92.700 92.233 83.865 90.943  90.385  87.248
      19.00  90.782 91.153 91.258 83.485 92.987  89.075  90.451
      20.00  91.125 92.956 93.072 84.431 91.346  90.425  88.101
