Cache_ratio    NFS                 Web12    Zipf  Random 
      1.00   2098.0                2196.0  1874.0  1192.0 
      2.00   1685.0                1926.0  2074.0  1260.0 
      3.00   1978.0                2114.0  2228.0  1579.0 
      4.00   2069.0                2016.0  1882.0  1249.0 
      5.00   2033.0                2045.0  2207.0  1347.0 
      6.00   2191.0                2315.0  2113.0  1257.0 
      7.00   2169.0                1901.0  2187.0  1211.0 
      8.00   1691.0                2092.0  2315.0  1263.0 
      9.00   1637.0                1897.0  2510.0  1585.0 
     10.00   1748.0                2096.0  2341.0  1787.0 
     11.00   1588.0                2435.0  1885.0  1678.0 
     12.00   1765.0                2168.0  2114.0  1695.0 
     13.00   1589.0                2452.0  2091.0  1601.0 
     14.00   1881.0                1994.0  2349.0  1938.0 
     15.00   1985.0                2213.0  2428.0  2023.0 
     16.00   2046.0                2130.0  2356.0  1915.0 
     17.00   2160.0                2418.0  2025.0  2069.0 
     18.00   1893.0                2341.0  1868.0  1751.0 
     19.00   1864.0                2834.0  1519.0  1919.0 
     20.00   2119.0                2414.0  1473.0  2096.0 
