Cache_ratio      NFS               Web12     Zipf   Random 
       1.00   15.814              38.865   17.526    0.984  
       2.00   30.020              47.896   23.509    1.981  
       3.00   40.424              53.430   27.947    2.924  
       4.00   55.718              57.165   30.606    3.961  
       5.00   64.942              60.000   33.628    4.868  
       6.00   74.346              60.850   35.678    5.901  
       7.00   77.313              64.397   38.223    6.889  
       8.00   82.558              66.034   40.050    7.901  
       9.00   83.744              67.389   41.265    8.807  
      10.00   86.032              68.336   43.339    9.695  
      11.00   87.672              68.756   44.420   10.716  
      12.00   88.405              70.624   45.971   11.499  
      13.00   90.432              71.530   47.168   12.631  
      14.00   89.707              72.497   48.436   13.537  
      15.00   91.922              72.815   49.432   14.121  
      16.00   90.403              73.227   50.844   15.374  
      17.00   92.646              74.160   51.691   16.359  
      18.00   90.943              74.783   52.682   17.110  
      19.00   92.987              75.427   53.452   18.014  
      20.00   91.346              75.715   54.780   18.980  
