Cache_ratio      NFS                 Web12    Zipf  Random 
       1.00   3296.0                4111.0  3930.0  2821.0 
       2.00   3679.0                3763.0  3830.0  2689.0 
       3.00   3780.0                4353.0  4530.0  2821.0 
       4.00   4069.0                4243.0  4324.0  2869.0 
       5.00   3866.0                3730.0  4415.0  2844.0 
       6.00   4093.0                3905.0  4117.0  2616.0 
       7.00   3958.0                4147.0  3891.0  2557.0 
       8.00   3218.0                3705.0  4297.0  2836.0 
       9.00   3422.0                3808.0  4029.0  3454.0 
      10.00   3244.0                3926.0  3838.0  2980.0 
      11.00   3129.0                4393.0  4493.0  3304.0 
      12.00   2894.0                3709.0  3951.0  3464.0 
      13.00   5068.0                4043.0  3802.0  3735.0 
      14.00   3437.0                3729.0  3898.0  3436.0 
      15.00   4011.0                3994.0  3606.0  3878.0 
      16.00   3666.0                3994.0  3849.0  3522.0 
      17.00   3522.0                4124.0  2810.0  3928.0 
      18.00   3967.0                4021.0  2893.0  3705.0 
      19.00   3934.0                3926.0  2861.0  3686.0 
      20.00   3458.0                3851.0  3101.0  3507.0 
