Cache_ratio    NFS                  Web12     Zipf   Random 
     1.00   15.812                 28.302    9.808    0.960  
     2.00   25.500                 35.837   17.268    1.985  
     3.00   38.586                 41.338   29.709    3.018  
     4.00   45.274                 45.819   31.279    3.915  
     5.00   53.887                 48.638   33.561    4.839  
     6.00   56.969                 49.914   38.213    5.954  
     7.00   66.356                 54.646   39.953    6.800  
     8.00   66.979                 56.476   41.377    7.845  
     9.00   74.169                 57.607   42.215    8.839  
    10.00   71.650                 57.822   43.556    9.740  
    11.00   76.954                 59.181   47.602   10.772  
    12.00   75.397                 62.347   48.351   11.608  
    13.00   79.850                 63.222   49.190   12.624  
    14.00   80.305                 65.456   49.350   13.596  
    15.00   80.488                 65.408   50.620   14.464  
    16.00   80.960                 64.187   51.108   15.389  
    17.00   82.015                 67.661   52.026   16.180  
    18.00   83.865                 69.026   52.861   17.325  
    19.00   83.485                 67.362   52.925   18.012  
    20.00   84.431                 67.138   53.772   19.040  
