Cache_ratio     ARC  CLOCK  Guava Random   NLRU    FIFO    LIRS
       1.00   0.985  1.072  1.019  0.960  0.984   0.982   0.951
       2.00   2.007  1.953  1.931  1.985  1.981   1.978   1.966
       3.00   3.034  2.946  2.986  3.018  2.924   3.017   3.001
       4.00   3.873  4.064  3.893  3.915  3.961   3.961   3.935
       5.00   4.919  4.941  4.920  4.839  4.868   4.858   4.973
       6.00   6.028  5.845  5.841  5.954  5.901   5.968   5.839
       7.00   6.958  6.894  6.884  6.800  6.889   6.749   6.913
       8.00   7.869  7.900  7.780  7.845  7.901   7.959   7.836
       9.00   8.781  8.808  8.910  8.839  8.807   8.857   8.867
      10.00   9.735  9.802  9.819  9.740  9.695   9.686   9.893
      11.00  10.521 10.728 10.652 10.772 10.716  10.687  10.737
      12.00  11.572 11.712 11.732 11.608 11.499  11.586  11.422
      13.00  12.483 12.322 12.506 12.624 12.631  12.438  12.615
      14.00  13.403 13.530 13.518 13.596 13.537  13.520  13.535
      15.00  14.287 14.542 14.237 14.464 14.121  14.388  14.445
      16.00  15.512 15.444 15.207 15.389 15.374  15.311  15.423
      17.00  16.105 16.142 15.958 16.180 16.359  16.233  16.161
      18.00  17.060 17.114 17.127 17.325 17.110  17.298  16.909
      19.00  18.200 18.099 18.082 18.012 18.014  18.071  18.023
      20.00  18.965 19.145 18.804 19.040 18.980  18.914  18.890
