Cache_ratio     ARC  CLOCK  Guava Random   NLRU    FIFO    LIRS
       1.00  27.749 18.891 17.642  9.808 17.526  15.372  23.518
       2.00  32.943 24.794 23.529 17.268 23.509  20.815  27.816
       3.00  36.413 28.839 27.662 29.709 27.947  24.661  31.459
       4.00  38.925 32.189 30.995 31.279 30.606  27.656  34.122
       5.00  40.856 34.525 33.589 33.561 33.628  30.155  36.403
       6.00  42.942 36.878 36.205 38.213 35.678  32.857  38.636
       7.00  44.492 38.937 37.960 39.953 38.223  34.294  40.455
       8.00  46.011 40.771 39.673 41.377 40.050  36.288  42.022
       9.00  47.289 42.964 41.683 42.215 41.265  37.962  43.587
      10.00  48.414 44.337 43.136 43.556 43.339  39.595  45.138
      11.00  49.611 45.584 44.623 47.602 44.420  40.915  46.676
      12.00  50.622 47.012 45.880 48.351 45.971  42.053  47.732
      13.00  51.514 48.305 46.988 49.190 47.168  43.468  48.723
      14.00  52.645 49.496 48.504 49.350 48.436  44.341  49.926
      15.00  53.917 50.262 49.383 50.620 49.432  45.718  50.996
      16.00  53.768 51.626 50.628 51.108 50.844  46.775  51.910
      17.00  54.953 52.429 51.632 52.026 51.691  47.826  52.656
      18.00  55.549 53.558 52.551 52.861 52.682  49.029  53.488
      19.00  56.391 54.169 53.451 52.925 53.452  49.826  54.590
      20.00  57.119 55.135 54.189 53.772 54.780  50.694  55.092
